Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Correlation (r),R²
KineticEnergy,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755975,0.13153106156062164
AverageParticleSpeed,KineticEnergy,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755825,0.13153106156062055
AverageParticleSpeed,KineticEnergy,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755825,0.13153106156062055
KineticEnergy,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,0.36248404701654974,0.13139468434149623
KineticEnergy,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,0.36248404701654974,0.13139468434149623
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,SnowDepthIntensity,0.36248404701654946,0.13139468434149604
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,SnowDepthIntensity,0.36248404701654946,0.13139468434149604
KineticEnergy,Pressure,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654946,0.13139468434149604
KineticEnergy,Pressure,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654946,0.13139468434149604
RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.36191329604316724,0.13098123385282923
AverageParticleSpeed,RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3612211598209691,0.1304807263024061
AverageParticleSpeed,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3612211598209691,0.1304807263024061
AverageParticleSpeed,RainAbsolute,RainIntensity,RainRate,Temperature,0.3612211598209687,0.13048072630240581
AverageParticleSpeed,RainAccumulated,RainIntensity,RainRate,Temperature,0.3612211598209687,0.13048072630240581
RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3612211598209687,0.13048072630240581
RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3612211598209687,0.13048072630240581
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,Temperature,0.3610319636495825,0.13034407877667348
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,Temperature,0.3610319636495825,0.13034407877667348
Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,0.3610319636495825,0.13034407877667348
Pressure,RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3610319636495825,0.13034407877667348
Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,0.3610319636495825,0.13034407877667348
Pressure,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3610319636495825,0.13034407877667348
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainRate,Temperature,0.3604244609631867,0.12990579206060368
AverageParticleSpeed,KineticEnergy,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainRate,Temperature,0.3604244609631867,0.12990579206060368
AverageParticleSpeed,KineticEnergy,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
KineticEnergy,RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
KineticEnergy,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,Temperature,0.3602307125451049,0.12976616626075402
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,Temperature,0.3602307125451049,0.12976616626075402
KineticEnergy,Pressure,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.3602307125451049,0.12976616626075402
KineticEnergy,Pressure,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3602307125451049,0.12976616626075402
KineticEnergy,Pressure,RainAbsolute,RainRate,Temperature,0.36023071254510486,0.12976616626075396
KineticEnergy,Pressure,RainAccumulated,RainRate,Temperature,0.36023071254510486,0.12976616626075396
KineticEnergy,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,0.3601787947302037,0.1297287641733022
KineticEnergy,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.3601787947302037,0.1297287641733022
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,SnowDepthIntensity,0.36017879473020326,0.1297287641733019
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,SnowDepthIntensity,0.36017879473020326,0.1297287641733019
KineticEnergy,RainAbsolute,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.36017879473020326,0.1297287641733019
KineticEnergy,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.36017879473020326,0.1297287641733019
KineticEnergy,Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,0.3599777421799488,0.1295839748649737
KineticEnergy,Pressure,RainAccumulated,RainIntensity,SnowDepthIntensity,0.3599777421799488,0.1295839748649737
KineticEnergy,RainAbsolute,RainIntensity,RainRate,Temperature,0.35823714493965897,0.12833385201451822
KineticEnergy,RainAccumulated,RainIntensity,RainRate,Temperature,0.35823714493965897,0.12833385201451822
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,Temperature,0.3582371449396586,0.12833385201451794
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,Temperature,0.3582371449396586,0.12833385201451794
KineticEnergy,RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3582371449396586,0.12833385201451794
KineticEnergy,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3582371449396586,0.12833385201451794
KineticEnergy,Pressure,RainAbsolute,RainIntensity,Temperature,0.35803244724074634,0.1281872332771978
KineticEnergy,Pressure,RainAccumulated,RainIntensity,Temperature,0.35803244724074634,0.1281872332771978
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainRate,0.3562865098345976,0.1269400770901188
Humidity,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.3562865098345976,0.1269400770901188
