Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Correlation (r),R²
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,WindSpeed,0.36534909636158974,0.13347996221223019
KineticEnergy,Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.36534909636158974,0.13347996221223019
KineticEnergy,Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.36534909636158974,0.13347996221223019
KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,WindSpeed,0.36534909636158963,0.1334799622122301
KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.36534909636158963,0.1334799622122301
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.36512101334923763,0.13331335438917416
KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36512101334923763,0.13331335438917416
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.3651210133492376,0.13331335438917413
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.36503787581901176,0.13325265078245624
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.36399232890321626,0.13249041550038715
AverageParticleSpeed,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36352021762380915,0.13214694862126156
AverageParticleSpeed,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36352021762380915,0.13214694862126156
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,0.36333698777031304,0.1320137666820046
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.36333698777031304,0.1320137666820046
Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36333698777031304,0.1320137666820046
Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36333698777031304,0.1320137666820046
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3633369877703128,0.13201376668200443
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.3633369877703128,0.13201376668200443
AverageParticleSpeed,Pressure,RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
AverageParticleSpeed,Pressure,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.36303524291982303,0.13179458760185492
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755975,0.13153106156062164
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36267211301755975,0.13153106156062164
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,0.36248404701654974,0.13139468434149623
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,0.36248404701654974,0.13139468434149623
KineticEnergy,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654974,0.13139468434149623
KineticEnergy,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654974,0.13139468434149623
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654946,0.13139468434149604
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654946,0.13139468434149604
AverageParticleSpeed,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.36191329604316724,0.13098123385282923
RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36191329604316724,0.13098123385282923
RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.36191329604316713,0.13098123385282914
Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.36178429841391685,0.13088787857885004
AverageParticleSpeed,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3612211598209687,0.13048072630240581
AverageParticleSpeed,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3612211598209687,0.13048072630240581
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,0.3610319636495825,0.13034407877667348
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3610319636495825,0.13034407877667348
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,0.3610319636495825,0.13034407877667348
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,0.3610319636495825,0.13034407877667348
Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3610319636495825,0.13034407877667348
Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3610319636495825,0.13034407877667348
RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,0.3607084069674187,0.13011055485697293
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.3604244609631867,0.12990579206060368
KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.36027223725156043,0.12979608493424466
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,Temperature,VolumeEquivalentDiameter,0.3602307125451049,0.12976616626075402
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,Temperature,VolumeEquivalentDiameter,0.3602307125451049,0.12976616626075402
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,Temperature,0.36023071254510486,0.12976616626075396
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,Temperature,0.36023071254510486,0.12976616626075396
KineticEnergy,Pressure,RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,0.36023071254510486,0.12976616626075396
KineticEnergy,Pressure,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,0.36023071254510486,0.12976616626075396
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,0.3601787947302037,0.1297287641733022
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.3601787947302037,0.1297287641733022
