Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Correlation (r),R²
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,WindSpeed,0.37168941900191677,0.13815302419798245
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,WindSpeed,0.37168941900191654,0.13815302419798228
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37168941900191654,0.13815302419798228
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.37138921624575066,0.13792994994363295
RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.37138921624575066,0.13792994994363295
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3713892162457502,0.1379299499436326
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.3712862568029408,0.1378534844907393
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.3712862568029408,0.1378534844907393
Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3712862568029408,0.1378534844907393
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,WindSpeed,0.37101657362644075,0.13765329790550412
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.37101657362644075,0.13765329790550412
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.37101657362644025,0.13765329790550376
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,Temperature,WindSpeed,0.3709125775205687,0.1375761401629519
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,WindSpeed,0.37091257752056866,0.13757614016295186
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,Temperature,VolumeEquivalentDiameter,WindSpeed,0.37091257752056866,0.13757614016295186
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,WindSpeed,0.37065455290629706,0.13738479759016697
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.37065455290629684,0.1373847975901668
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.37065455290629684,0.1373847975901668
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,WindSpeed,0.3705480104412622,0.13730582804197775
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.36997265702768795,0.1368797669481272
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.36997265702768795,0.1368797669481272
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36997265702768795,0.1368797669481272
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.3698661594287631,0.1368009758905832
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3682889441037964,0.1356367463490893
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3682889441037964,0.1356367463490893
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3674632904885055,0.1350292698566398
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3665784588070819,0.13437976646137545
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.36649912134314944,0.13432160594530057
Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36649912134314944,0.13432160594530057
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36649912134314927,0.13432160594530046
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3657019501582317,0.13373791634953378
AverageParticleSpeed,KineticEnergy,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3657019501582317,0.13373791634953378
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36549778255689497,0.13358862905400729
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3654977825568946,0.13358862905400698
RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3654977825568946,0.13358862905400698
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.36541571048963273,0.1335286414726431
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.3654157104896327,0.13352864147264304
Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3654157104896327,0.13352864147264304
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.36534909636158974,0.13347996221223019
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.36534909636158974,0.13347996221223019
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,WindSpeed,0.36534909636158963,0.1334799622122301
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.36534909636158963,0.1334799622122301
KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36534909636158963,0.1334799622122301
KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.36534909636158963,0.1334799622122301
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36512101334923763,0.13331335438917416
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.3651210133492376,0.13331335438917413
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3651210133492376,0.13331335438917413
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,0.36503787581901176,0.13325265078245624
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36503787581901176,0.13325265078245624
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.3650378758190116,0.13325265078245613
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.36399232890321676,0.13249041550038754
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.36399232890321626,0.13249041550038715
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.36399232890321626,0.13249041550038715
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.36390628681986603,0.1324277855870226
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36333698777031304,0.1320137666820046
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36333698777031304,0.1320137666820046
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654974,0.13139468434149623
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.36248404701654974,0.13139468434149623
AverageParticleSpeed,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36191329604316724,0.13098123385282923
