Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Correlation (r),R²
RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3607084069674187,0.13011055485697293
AverageParticleSpeed,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.3607084069674186,0.1301105548569729
Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3605763808979065,0.13001532646143216
AverageParticleSpeed,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,0.36057638089790645,0.1300153264614321
Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.3605763808979064,0.13001532646143207
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.3602722372515605,0.1297960849342447
KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3602722372515605,0.1297960849342447
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3602722372515604,0.1297960849342446
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.36013898166423947,0.1297000861141554
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,WindSpeed,0.36013898166423935,0.12970008611415534
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.36013898166423924,0.12970008611415526
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.35997774217994855,0.1295839748649735
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.35997774217994855,0.1295839748649735
AverageParticleSpeed,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,0.35901587666137935,0.12889239969493876
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.35901587666137935,0.12889239969493876
KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.359015876661379,0.12889239969493851
KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,WindSpeed,0.3588794205215454,0.12879443847388022
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3580324472407464,0.12818723327719786
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,0.3580324472407464,0.12818723327719786
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3550899549271492,0.12608887609016484
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,0.35469211921175353,0.12580649943092478
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.35359476978981613,0.12502926122271307
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,0.35351375137980656,0.12497197241462368
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.3535137513798065,0.12497197241462364
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,0.35351375137980645,0.12497197241462361
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.352741505578031,0.12442656975745608
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.35158370077565004,0.12361109865110183
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.35146086011677136,0.12352473619402073
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3514608601167712,0.1235247361940206
Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3514608601167712,0.1235247361940206
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3511124308567347,0.12327993910212531
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,VolumeEquivalentDiameter,WindSpeed,0.3509880170150329,0.12319258808814502
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3509880170150329,0.12319258808814502
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,WindSpeed,0.35098801701503285,0.12319258808814498
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,WindSpeed,0.3497756694855648,0.12234301896407508
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.34977566948556477,0.12234301896407504
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.34977566948556454,0.12234301896407489
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,WindSpeed,0.3496472476484519,0.12225319778813785
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,WindSpeed,0.3496472476484518,0.12225319778813777
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,VolumeEquivalentDiameter,WindSpeed,0.3496472476484518,0.12225319778813777
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.3445843252139924,0.11873835718318249
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.34410060251998664,0.11840522465461784
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.34410060251998664,0.11840522465461784
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.34338585506858044,0.11791384546118013
Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.34327238728240156,0.11783593187055909
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,0.3432723872824015,0.11783593187055905
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.34327238728240134,0.11783593187055894
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.34304806037313146,0.11768197172576765
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,WindSpeed,0.34304806037313146,0.11768197172576765
AverageParticleSpeed,Pressure,RainAbsolute,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3429989426977708,0.11764827469178867
AverageParticleSpeed,Pressure,RainAccumulated,RainIntensity,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3429989426977708,0.11764827469178867
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.34293595673629934,0.11760507042264097
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,VolumeEquivalentDiameter,0.3428210587566666,0.11752627832704184
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,0.3428210587566663,0.11752627832704164
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,VolumeEquivalentDiameter,0.34282105875666624,0.11752627832704161
AverageParticleSpeed,KineticEnergy,Pressure,RainAbsolute,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3419848497897119,0.1169536374856918
AverageParticleSpeed,KineticEnergy,Pressure,RainAccumulated,RainRate,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3419848497897119,0.1169536374856918
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,VolumeEquivalentDiameter,0.34158265321717984,0.11667870897888814
