Variable 1,Variable 2,Variable 3,Variable 4,Variable 5,Variable 6,Variable 7,Variable 8,Variable 9,Correlation (r),R²
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.33225184668906155,0.11039128962829166
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3322518466890615,0.11039128962829162
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,Temperature,WindSpeed,0.33206720002154305,0.11026862533014749
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,WindSpeed,0.3320672000215429,0.11026862533014738
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3320672000215429,0.11026862533014738
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3281035523929053,0.10765194109284394
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3269114983258841,0.10687112773767454
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3267479962609214,0.10676425306052709
Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3267479962609211,0.1067642530605269
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.326747996260921,0.10676425306052684
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.32644336392666157,0.10656526985175481
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3262784811953531,0.10645764729114637
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.326278481195353,0.10645764729114633
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,0.32627848119535297,0.1064576472911463
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.3250534758272716,0.10565976214739066
AverageParticleSpeed,Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.32505347582727134,0.10565976214739048
Humidity,KineticEnergy,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.32505347582727134,0.10565976214739048
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,RainRate,SnowDepthIntensity,Temperature,0.3248847821795237,0.10555012169183657
AverageParticleSpeed,Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,0.32488478217952355,0.10555012169183646
Humidity,KineticEnergy,Pressure,RainAbsolute,RainAccumulated,RainIntensity,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,0.32488478217952355,0.10555012169183646
AverageParticleSpeed,KineticEnergy,Pressure,RadarReflectivity,RainAbsolute,RainAccumulated,RainIntensity,RainRate,VolumeEquivalentDiameter,0.324668008191551,0.10540931554306902
AverageParticleSpeed,Humidity,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.3220602815584506,0.1037228249575085
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,RainRate,SnowDepthIntensity,Temperature,WindSpeed,0.32184510054387183,0.10358426874409497
AverageParticleSpeed,Humidity,Pressure,RainAbsolute,RainAccumulated,SnowDepthIntensity,Temperature,VolumeEquivalentDiameter,WindSpeed,0.32184510054387183,0.10358426874409497
