TimeStamp,Decoded Data,RSSI,SNR (LSNR),Throughput (bps),Latency (s)
2025-01-02 11:54:56.057,1;2025-01-02 11:54:52.825200;,-105,-0.8,7.40279625707092,5.14560675621032
2025-01-02 11:55:07.406,1;2025-01-02 11:55:04.846823;,-105,2.8,20.4429271447033,5.63760304450988
2025-01-02 11:55:17.779,1;2025-01-02 11:55:16.866262;,-107,-0.2,22.3653893903431,5.14486837387085
2025-01-02 11:55:43.782,1;2025-01-02 11:55:40.909224;,-103,4.5,8.92204695803243,5.20496344566345
2025-01-02 11:56:20.328,1;2025-01-02 11:56:19.959805;,-103,-4.5,6.34806941007389,5.32195806503295
2025-01-02 11:56:35.814,1;2025-01-02 11:56:31.982066;,-104,3.0,14.9810835283501,5.14694046974182
2025-01-02 11:56:51.399,1;2025-01-02 11:56:50.014570;,-99,1.0,14.8863614101261,5.16393852233886
2025-01-02 11:56:56.571,1;2025-01-02 11:56:56.026449;,-99,3.5,44.8614349023671,5.14531373977661
2025-01-02 11:58:04.555,1;2025-01-02 11:58:02.120001;,-104,3.0,3.41253695548533,5.19215869903564
2025-01-02 11:59:38.309,1;2025-01-02 11:59:35.259518;,-99,1.2,2.47455818574522,5.16636896133422
2025-01-02 12:00:14.851,1;2025-01-02 12:00:11.323832;,-91,2.5,6.34901061590918,5.14522910118103
2025-01-02 12:01:01.538,1;2025-01-02 12:00:56.385313;,-102,2.5,4.96917789569388,5.15428805351257
2025-01-02 12:01:06.880,1;2025-01-02 12:01:02.396826;,-104,-2.5,43.4312065483082,5.31484532356262
2025-01-02 12:01:17.313,1;2025-01-02 12:01:14.416972;,-105,2.2,22.2368311567296,5.26175332069397
2025-01-02 12:01:43.240,1;2025-01-02 12:01:38.459379;,-102,1.8,8.94849183732583,5.23999238014221
2025-01-02 12:02:19.755,1;2025-01-02 12:02:17.508159;,-105,-2.8,6.35346570201635,5.14208173751831
2025-01-02 12:02:40.518,1;2025-01-02 12:02:35.541401;,-104,-0.5,11.173708623898,5.14941239356994
2025-01-02 12:02:45.679,1;2025-01-02 12:02:41.552024;,-107,1.5,44.9508319159334,5.15294408798217
2025-01-02 12:03:01.283,1;2025-01-02 12:02:59.585093;,-105,-1.0,14.8683870869754,5.15491700172424
2025-01-02 12:04:09.008,1;2025-01-02 12:04:08.689975;,-105,1.8,3.42561305622001,5.16217112541198
2025-01-02 12:04:34.993,1;2025-01-02 12:04:32.732498;,-102,3.0,8.92828159872855,5.14705109596252
2025-01-02 12:05:32.235,1;2025-01-02 12:05:29.797820;,-94,1.8,4.05297202633292,5.13427901268005
2025-01-02 12:05:42.600,1;2025-01-02 12:05:41.819319;,-103,-1.8,22.3821924074689,5.16175365447998
2025-01-02 12:05:58.375,1;2025-01-02 12:05:53.842225;,-98,-4.0,14.7067638127459,5.14705753326416
2025-01-02 12:06:13.974,1;2025-01-02 12:06:11.874701;,-104,0.8,14.8729626392441,5.14339566230773
2025-01-02 12:06:24.354,1;2025-01-02 12:06:23.897446;,-99,4.5,22.349432346114,5.13794922828674
2025-01-02 12:07:00.809,1;2025-01-02 12:06:56.937349;,-99,1.2,6.36406891535527,5.2073118686676
2025-01-02 12:07:21.702,1;2025-01-02 12:07:20.979968;,-97,-7.8,11.1044060872887,5.24324369430542
2025-01-02 12:07:32.113,1;2025-01-02 12:07:26.991402;,-103,3.2,22.2832835984475,5.17467403411865
2025-01-02 12:07:42.541,1;2025-01-02 12:07:39.012071;,-105,-0.8,22.248102707794,5.14537477493286
2025-01-02 12:07:47.733,1;2025-01-02 12:07:45.022443;,-99,-0.5,44.6828354660509,5.14277267456054
2025-01-02 12:08:34.408,1;2025-01-02 12:08:30.081492;,-96,0.8,4.97057261580682,5.15085577964782
2025-01-02 12:08:44.858,1;2025-01-02 12:08:42.103733;,-98,1.8,22.2013645915488,5.19386434555053
2025-01-02 12:08:50.018,1;2025-01-02 12:08:48.115067;,-103,0.5,44.9614348424848,5.14496970176696
2025-01-02 12:09:10.750,1;2025-01-02 12:09:06.147974;,-101,1.5,11.190362372652,5.14636254310607
2025-01-02 12:09:15.919,1;2025-01-02 12:09:12.160037;,-91,6.2,44.8774714687865,5.15425682067871
2025-01-02 12:09:52.342,1;2025-01-02 12:09:51.209765;,-98,4.0,6.36971656158529,5.14389991760253
2025-01-02 12:09:57.535,1;2025-01-02 12:09:57.219852;,-98,0.8,44.6707413684201,5.14974784851074
2025-01-02 12:10:13.136,1;2025-01-02 12:10:09.241967;,-102,2.0,14.8706072439717,5.22752213478088
